A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5
1.18035,1.03295,1.63225,1.3183,1,202.4,21,2.6,1.0,0.32429465249999995,1.9266262875,1.3183,0.3318472911276453
1.18025,1.03205,1.6271,1.31655,1,202.4,21,2.6,1.0,0.3205031274999999,1.920384775,1.31655,0.32510956883913567
1.188,1.0433,1.6345,1.3151,1,202.4,21,2.6,1.0,0.3332300200000001,1.941786,1.3151,0.3549801929965559
1.1871,1.0444,1.629,1.3123,1,202.4,21,2.6,1.0,0.33076148,1.9337859000000002,1.3123,0.34727176948145666
1.187,1.0441,1.6241,1.3114,1,202.4,21,2.6,1.0,0.32649007000000024,1.9278067000000003,1.3114,0.3416312362937515
1.2018,1.0725,1.4844,1.2238,0,1.0,203,0.0,1.0,0.27949349999999995,1.7839519199999998,1.2238,0.16201652319161797
1.2014,1.0747,1.4798,1.2208,0,1.0,203,0.0,1.0,0.2783472999999999,1.77783172,1.2208,0.15203394219239907
1.2013,1.0727,1.4749,1.22,0,1.0,203,0.0,1.0,0.27343123000000014,1.7717973700000003,1.22,0.14275110666899793
1.2013,1.0446,1.4958,1.2366,0,1.0,203,0.0,1.0,0.2707603200000001,1.79690454,1.2366,0.176428242201913
1.2001,1.042,1.4914,1.2349,0,1.0,203,0.0,1.0,0.267273,1.78982914,1.2349,0.16482060551851974
1.2017,1.0427,1.4879,1.233,0,1.0,203,0.0,1.0,0.2657842299999999,1.78800943,1.233,0.1628442645037631
1.1961,1.0598,1.4849,1.23,0,1.0,203,0.0,1.0,0.2701430200000002,1.77608889,1.23,0.14762430938620108
1.1953,1.0587,1.4812,1.226,0,1.0,203,0.0,1.0,0.27018024000000007,1.77047836,1.226,0.1361641805014755
1.1947,1.0598,1.4763,1.2254,0,1.0,203,0.0,1.0,0.2659038199999999,1.7637356100000001,1.2254,0.12670117383988355
1.1475,0.986,1.5373,1.2991,1,167.2,13,2.8,1.0,0.2348652000000002,1.7640517500000001,1.2991,0.11637161287508802
1.147,0.9872,1.5312,1.2964,1,167.2,13,2.8,1.0,0.2317945599999999,1.7562863999999998,1.2964,0.10591265776301506
1.147,0.9851,1.5266,1.2937,1,167.2,13,2.8,1.0,0.22942978999999988,1.7510102,1.2937,0.09721093069101061
1.1535,0.9992,1.56,1.2956,1,167.2,13,2.8,1.0,0.26418847999999995,1.79946,1.2956,0.16263652096507875
1.1524,0.9981,1.5535,1.2953,1,167.2,13,2.8,1.0,0.2577094200000002,1.7902534000000003,1.2953,0.15139397138637256
1.1521,0.9973,1.5489,1.2929,1,167.2,13,2.8,1.0,0.2553088,1.7844876899999997,1.2929,0.14303092341539758
1.1603,1.0227,1.5964,1.2988,1,167.2,13,2.8,1.0,0.30435552000000005,1.8523029200000003,1.2988,0.23472844390572978
1.1599,1.0204,1.5908,1.2968,1,167.2,13,2.8,1.0,0.29999760000000003,1.8451689199999999,1.2968,0.22502437520058716
1.1606,1.0208,1.5852,1.2954,1,167.2,13,2.8,1.0,0.2958278399999998,1.83978312,1.2954,0.21961030646632507
